+------------------------------------------+---------------------------------------------------------------------------------+-----------------------------+-------------------+----------------+-------------------------------------------------------------------------------------+
| Meter Name                               | Product Name                                                                    | SKU Name                    | Unit of Measure   |   Retail Price | ARM SKU Name                                                                        |
| 1 vCore                                  | Azure Database for MySQL Flexible Server Memory Optimized Eadsv5 Series Compute | 1 vCore                     | 1 Hour            |       0.1311   | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Eadsv5_Series                        |
| vCore                                    | Azure Database for MySQL Single Server Basic - Compute Gen4                     | 1 vCore                     | 1 Hour            |       0.0442   |                                                                                     |
| B1MS                                     | Azure Database for MySQL Flexible Server Burstable BS Series Compute            | B1MS                        | 1 Hour            |       0.022    | B1MS                                                                                |
| 104 vCore                                | Azure Database for MySQL Flexible Server Memory Optimized Edsv5 Series Compute  | Standard_E104id_v5          | 1 Hour            |      13.634    | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Edsv5Series_Compute_104vCore         |
| 20 vCore                                 | Azure Database for MySQL Flexible Server Memory Optimized Edsv5 Series Compute  | Standard_E20d_v5            | 1 Hour            |       2.622    | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Edsv5Series_Compute_20vCore          |
| Storage GP Accelerated Logs              | Azure Database for MySQL Flexible Server Storage                                | Storage GP Accelerated Logs | 1 Hour            |       0.06681  | Storage                                                                             |
| vCore                                    | Azure Database for MySQL Flexible Server Memory Optimized Series Compute        | vCore                       | 1 Hour            |       0.1311   | Azure_Database_for_MySQL_Flexible_Server Memory_Optimized_Series_Compute_vCore      |
| vCore                                    | Azure Database for MySQL Flexible Server Memory Optimized Series Compute        | vCore                       | 1 Hour            |     689        | Azure_Database_for_MySQL_Flexible_Server Memory_Optimized_Series_Compute_vCore      |
| vCore                                    | Azure Database for MySQL Flexible Server Memory Optimized Series Compute        | vCore                       | 1 Hour            |    1378        | Azure_Database_for_MySQL_Flexible_Server Memory_Optimized_Series_Compute_vCore      |
| vCore                                    | Azure Database for MySQL Flexible Server General Purpose Ddsv5 Series Compute   | vCore                       | 1 Hour            |       0.0975   | AzureDB_MySQL_Flexible_Server_General_Purpose_Compute_Ddsv5_Series                  |
| General Purpose Data Stored              | Azure Database for MySQL Single Server General Purpose - Storage                | General Purpose             | 1 GB/Month        |       0.138    |                                                                                     |
| Additional IOPS                          | Azure Database for MySQL Flexible Server Storage                                | Additional IOPS             | 1 IOPS/Month      |       0.06     | Additional IOPS                                                                     |
| 1 vCore                                  | Azure Database for MySQL Flexible Server General Purpose Dsv6 Series Compute    | 1 vCore                     | 1 Hour            |       0.116    | 1 vCore                                                                             |
| Backup LRS Data Stored                   | Azure Database for MySQL Single Server - Backup Storage                         | Backup LRS                  | 1 GB/Month        |       0.12     |                                                                                     |
| SSD v2 Data Stored                       | Azure Database for MySQL Flexible Server Storage                                | SSD v2                      | 1 GiB/Month       |       0.138    | SSD v2                                                                              |
| vCore                                    | Azure Database for MySQL Single Server Memory Optimized - Compute Gen5          | 1 vCore                     | 1 Hour            |       0.1311   |                                                                                     |
| Paid IO LRS IO Rate Operations           | Azure Database for MySQL Flexible Server Storage                                | Paid IO LRS                 | 1M                |       0.26     | Paid IO                                                                             |
| vCore                                    | Azure Database for MySQL Flexible Server General Purpose Dasv6 Series Compute   | vCore                       | 1 Hour            |       0.116    | AzureDB_MySQL_Flexible_Server_General_Purpose_Dasv6_Series                          |
| vCore                                    | Azure Database for MySQL Flexible Server General Purpose Dasv6 Series Compute   | vCore                       | 1 Hour            |     608        | AzureDB_MySQL_Flexible_Server_General_Purpose_Dasv6_Series                          |
| vCore                                    | Azure Database for MySQL Flexible Server General Purpose Dasv6 Series Compute   | vCore                       | 1 Hour            |    1217        | AzureDB_MySQL_Flexible_Server_General_Purpose_Dasv6_Series                          |
| 2 vCore                                  | Azure Database for MySQL Single Server Basic - Compute Gen5                     | 2 vCore                     | 1 Hour            |       0.0884   |                                                                                     |
| Basic Data Stored                        | Azure Database for MySQL Single Server Basic Storage                            | Basic                       | 1 GB/Month        |       0.078848 |                                                                                     |
| 1 vCore                                  | Azure Database for MySQL Flexible Server General Purpose Ddsv5 Series Compute   | 1 vCore                     | 1 Hour            |       0.0975   | AzureDB_MySQL_Flexible_Server_General_Purpose_Compute_Ddsv5_Series                  |
| 1 vCore                                  | Azure Database for MySQL Flexible Server Memory Optimized Eadsv6 Series Compute | 1 vCore                     | 1 Hour            |       0.194    | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Eadsv6_Series                        |
| Backup Storage LRS Data Stored           | Azure Database for MySQL Flexible Server Backup Storage                         | Backup Storage LRS          | 1 GB/Month        |       0.095    | Backup Storage                                                                      |
| vCore                                    | Azure Database for MySQL Flexible Server General Purpose Ddsv6 Series Compute   | vCore                       | 1 Hour            |       0.146    | Azure_Database_for_MySQL_Flexible_Server_General_Purpose_Ddsv6_Series_Compute_vCore |
| vCore                                    | Azure Database for MySQL Flexible Server General Purpose Ddsv6 Series Compute   | vCore                       | 1 Hour            |     766        | Azure_Database_for_MySQL_Flexible_Server_General_Purpose_Ddsv6_Series_Compute_vCore |
| vCore                                    | Azure Database for MySQL Flexible Server General Purpose Ddsv6 Series Compute   | vCore                       | 1 Hour            |    1530        | Azure_Database_for_MySQL_Flexible_Server_General_Purpose_Ddsv6_Series_Compute_vCore |
| 8 vCore                                  | Azure Database for MySQL Flexible Server Memory Optimized Edsv5 Series Compute  | Standard_E8d_v5             | 1 Hour            |       1.049    | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Edsv5Series_Compute_8vCore           |
| 2 vCore                                  | Azure Database for MySQL Flexible Server Memory Optimized Edsv5 Series Compute  | Standard_E2d_v5             | 1 Hour            |       0.262    | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Edsv5Series_Compute_2vCore           |
| vCore                                    | Azure Database for MySQL Flexible Server General Purpose Dv3 Series Compute     | 1 vCore                     | 1 Hour            |       0.0975   | 1 vCore                                                                             |
| 96 vCore                                 | Azure Database for MySQL Flexible Server Memory Optimized Edsv5 Series Compute  | Standard_E96d_v5            | 1 Hour            |      12.586    | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Edsv5Series_Compute_96vCore          |
| vCore                                    | Azure Database for MySQL Single Server General Purpose - Compute Gen4           | vCore                       | 1 Hour            |       0.1024   |                                                                                     |
| 1 vCore                                  | Azure Database for MySQL Flexible Server General Purpose Ddsv6 Series Compute   | 1 vCore                     | 1 Hour            |       0.146    | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Ddsv6_Series                         |
| vCore                                    | Azure Database for MySQL Flexible Server Memory Optimized Eadsv6 Series Compute | vCore                       | 1 Hour            |       0.194    | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Eadsv6_Series                        |
